Date,Open,High,Low,Close
12/2022,"4,087.14","4,100.96","3,764.49","3,839.50"
11/2022,"3,901.79","4,080.11","3,698.15","4,080.11"
10/2022,"3,609.78","3,905.42","3,491.58","3,871.98"
09/2022,"3,936.73","4,119.28","3,584.13","3,585.62"
08/2022,"4,112.38","4,325.28","3,954.53","3,955.00"
07/2022,"3,781.08","4,140.15","3,721.56","4,130.29"
06/2022,"4,149.78","4,177.51","3,636.87","3,785.38"
05/2022,"4,130.61","4,307.66","3,810.32","4,132.15"
04/2022,"4,540.32","4,593.45","4,124.28","4,131.93"
03/2022,"4,363.14","4,637.30","4,157.87","4,530.41"
02/2022,"4,519.57","4,595.31","4,114.65","4,373.94"
01/2022,"4,778.14","4,818.62","4,222.62","4,515.55"
