Date,Open,High,Low,Close
12/2023,"4,559.43","4,793.30","4,546.50","4,769.83"
11/2023,"4,201.27","4,587.64","4,197.74","4,567.80"
10/2023,"4,284.52","4,393.57","4,103.78","4,193.80"
09/2023,"4,530.85","4,541.25","4,238.63","4,288.05"
08/2023,"4,578.83","4,584.62","4,335.31","4,507.66"
07/2023,"4,449.45","4,607.07","4,385.05","4,588.96"
06/2023,"4,183.03","4,458.48","4,171.64","4,450.38"
05/2023,"4,166.79","4,231.10","4,048.28","4,179.83"
04/2023,"4,102.20","4,170.06","4,049.35","4,169.48"
03/2023,"3,963.34","4,110.75","3,808.86","4,109.31"
02/2023,"4,070.07","4,195.44","3,943.08","3,970.15"
01/2023,"3,853.29","4,094.21","3,794.33","4,076.60"
